epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2541.68,0.57856,0.55784,0.50387,0.92278,0.98833,1,0.995,0.90317,0.98833,1,0.995,0.90134,0.41097,0.32458,0.36681,0.80245,0.000198202,0.000198202,0.000198202
89,2571.39,0.56575,0.59156,0.50249,0.90677,0.98822,1,0.995,0.88614,0.98822,1,0.995,0.89207,0.41529,0.32493,0.36973,0.80232,0.000184055,0.000184055,0.000184055
90,2600.59,0.55752,0.60029,0.49811,0.90818,0.98857,1,0.995,0.89327,0.98857,1,0.995,0.89334,0.41121,0.32431,0.371,0.80282,0.000169908,0.000169908,0.000169908
91,2626.85,0.5296,0.54406,0.63844,0.88073,0.98861,1,0.995,0.88968,0.98861,1,0.995,0.89675,0.4234,0.33067,0.37229,0.80214,0.000155761,0.000155761,0.000155761
92,2653.42,0.49734,0.50447,0.58061,0.85697,0.98676,1,0.995,0.89979,0.98676,1,0.995,0.89613,0.44058,0.3368,0.38387,0.80154,0.000141614,0.000141614,0.000141614
93,2679.95,0.45738,0.49,0.51336,0.85936,0.98525,1,0.995,0.91099,0.98525,1,0.995,0.89623,0.43135,0.34391,0.38962,0.80065,0.000127467,0.000127467,0.000127467
94,2706.23,0.46717,0.4968,0.53287,0.85946,0.98411,1,0.995,0.90231,0.98411,1,0.995,0.9041,0.42191,0.34735,0.38478,0.79625,0.00011332,0.00011332,0.00011332
95,2732.78,0.46175,0.504,0.53723,0.85227,0.98414,1,0.995,0.89395,0.98414,1,0.995,0.90981,0.40311,0.34646,0.37624,0.79467,9.91726e-05,9.91726e-05,9.91726e-05
96,2759.14,0.46086,0.47709,0.50668,0.85862,0.98613,1,0.995,0.89071,0.98613,1,0.995,0.90306,0.40492,0.34607,0.37336,0.79534,8.50255e-05,8.50255e-05,8.50255e-05
97,2785.57,0.44307,0.47891,0.48523,0.85946,0.98995,1,0.995,0.89969,0.98995,1,0.995,0.89365,0.39319,0.34315,0.37424,0.79676,7.08784e-05,7.08784e-05,7.08784e-05
98,2812.88,0.45362,0.50506,0.485,0.8441,0.99048,1,0.995,0.89758,0.99048,1,0.995,0.89011,0.38767,0.3416,0.37656,0.79666,5.67313e-05,5.67313e-05,5.67313e-05
99,2839.04,0.45154,0.51295,0.49591,0.84819,0.99079,1,0.995,0.89662,0.99079,1,0.995,0.89651,0.38957,0.33956,0.37613,0.79726,4.25842e-05,4.25842e-05,4.25842e-05
100,2866.53,0.44012,0.48592,0.4785,0.83885,0.99083,1,0.995,0.9012,0.99083,1,0.995,0.89806,0.38741,0.33864,0.37653,0.79623,2.84371e-05,2.84371e-05,2.84371e-05
